ALERT_EVENT_ID,ALERT_ID,EVENT_TIME,EVENT_CLOSED_TIME,RESOLUTION_HOURS,CUSTOMER_NAME,CUSTOMER_SITE_NO,CUSTOMER_SITE_NAME,SITE_ADDRESS,ALERT_TYPE,Priority,HWID,HWID_TYPE,LOOP,LOCATION_ID,EVENT_DESCRIPTION,WORKORDER_NO,LOG_ONLY
36658,4934624,2025-01-21 08:03:47,2025-01-21 11:01:58,2.9697222222222224,Valmet Technologies Oy,998389833,Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,LVIS,60,G00000005045,K2 vastaanotin,  LVIS,4218,"Sarankulman kiinteistö, PRI:1, TOIMINUT, 21.01.2025 08.03.23, Paloilmoitin palohälytys",,
36659,4934624,2025-01-21 08:03:47,2025-01-21 11:01:58,2.9697222222222224,Valmet Technologies Oy,998389833,Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,LVIS,60,G00000005045,K2 vastaanotin,  LVIS,4219,"Sarankulman kiinteistö, PRI:1, TOIMINUT, 21.01.2025 08.03.23, Paloilmoitin palohälytys",,
36660,4934624,2025-01-21 08:03:50,2025-01-21 11:01:58,2.968888888888889,Valmet Technologies Oy,998389833,Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,LVIS,60,G00000005045,K2 vastaanotin,  LVIS,4218,"Sarankulman kiinteistö, PRI:1, PALAUTUNUT, 21.01.2025 08.03.26, Sprinkleriverkosto 1, palautunut",,
36661,4934624,2025-01-21 08:03:50,2025-01-21 11:01:58,2.968888888888889,Valmet Technologies Oy,998389833,Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,LVIS,60,G00000005045,K2 vastaanotin,  LVIS,4219,"Sarankulman kiinteistö, PRI:1, PALAUTUNUT, 21.01.2025 08.03.26, Sprinkleriverkosto 1, palautunut",,
36662,4934624,2025-01-21 08:03:56,2025-01-21 11:01:58,2.9672222222222224,Valmet Technologies Oy,998389833,Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,LVIS,60,G00000005045,K2 vastaanotin,  LVIS,4218,"Sarankulman kiinteistö, PRI:1, PALAUTUNUT, 21.01.2025 08.03.47, Paloilmoitin palohälytys, palautunut",,
36663,4934624,2025-01-21 08:03:56,2025-01-21 11:01:58,2.9672222222222224,Valmet Technologies Oy,998389833,Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,LVIS,60,G00000005045,K2 vastaanotin,  LVIS,4219,"Sarankulman kiinteistö, PRI:1, PALAUTUNUT, 21.01.2025 08.03.47, Paloilmoitin palohälytys, palautunut",,
36664,4934624,2025-01-21 08:05:00,2025-01-21 11:01:58,2.9494444444444445,Valmet Technologies Oy,998389833,Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,LVIS,60,G00000005045,K2 vastaanotin,  LVIS,4218,"Sarankulman kiinteistö, PRI:1, TOIMINUT, 21.01.2025 08.04.39, Paloilmoitin palohälytys",,
36665,4934624,2025-01-21 08:05:00,2025-01-21 11:01:58,2.9494444444444445,Valmet Technologies Oy,998389833,Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,LVIS,60,G00000005045,K2 vastaanotin,  LVIS,4219,"Sarankulman kiinteistö, PRI:1, TOIMINUT, 21.01.2025 08.04.39, Paloilmoitin palohälytys",,
36666,4934624,2025-01-21 08:05:00,2025-01-21 11:01:58,2.9494444444444445,Valmet Technologies Oy,998389833,Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,LVIS,60,G00000005045,K2 vastaanotin,  LVIS,4218,"Sarankulman kiinteistö, PRI:1, PALAUTUNUT, 21.01.2025 08.04.43, Sprinkleriverkosto 2, palautunut",,
36667,4934624,2025-01-21 08:05:00,2025-01-21 11:01:58,2.9494444444444445,Valmet Technologies Oy,998389833,Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,LVIS,60,G00000005045,K2 vastaanotin,  LVIS,4219,"Sarankulman kiinteistö, PRI:1, PALAUTUNUT, 21.01.2025 08.04.43, Sprinkleriverkosto 2, palautunut",,
36668,4934624,2025-01-21 08:05:31,2025-01-21 11:01:58,2.9408333333333334,Valmet Technologies Oy,998389833,Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,LVIS,60,G00000005045,K2 vastaanotin,  LVIS,4218,"Sarankulman kiinteistö, PRI:1, PALAUTUNUT, 21.01.2025 08.05.04, Paloilmoitin palohälytys, palautunut",,
36669,4934624,2025-01-21 08:05:31,2025-01-21 11:01:58,2.9408333333333334,Valmet Technologies Oy,998389833,Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,LVIS,60,G00000005045,K2 vastaanotin,  LVIS,4219,"Sarankulman kiinteistö, PRI:1, PALAUTUNUT, 21.01.2025 08.05.04, Paloilmoitin palohälytys, palautunut",,
36670,4934624,2025-01-21 08:09:55,2025-01-21 11:01:58,2.8675,Valmet Technologies Oy,998389833,Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,LVIS,60,G00000005045,K2 vastaanotin,  LVIS,4218,"Sarankulman kiinteistö, PRI:1, TOIMINUT, 21.01.2025 08.09.38, Paloilmoitin palohälytys",,
36671,4934624,2025-01-21 08:09:55,2025-01-21 11:01:58,2.8675,Valmet Technologies Oy,998389833,Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,LVIS,60,G00000005045,K2 vastaanotin,  LVIS,4219,"Sarankulman kiinteistö, PRI:1, TOIMINUT, 21.01.2025 08.09.38, Paloilmoitin palohälytys",,
36672,4934624,2025-01-21 08:10:10,2025-01-21 11:01:58,2.8633333333333333,Valmet Technologies Oy,998389833,Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,LVIS,60,G00000005045,K2 vastaanotin,  LVIS,4218,"Sarankulman kiinteistö, PRI:1, PALAUTUNUT, 21.01.2025 08.10.02, Paloilmoitin palohälytys, palautunut",,
36673,4934624,2025-01-21 08:10:10,2025-01-21 11:01:58,2.8633333333333333,Valmet Technologies Oy,998389833,Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,LVIS,60,G00000005045,K2 vastaanotin,  LVIS,4219,"Sarankulman kiinteistö, PRI:1, PALAUTUNUT, 21.01.2025 08.10.02, Paloilmoitin palohälytys, palautunut",,
