CUSTOMER_SITE_NAME,SITE_ADDRESS,year_month,hvac_alarm_events,unique_alert_ids,workorders_created
Lentokentänkatu 11,Lentokentänkatu 11 33900 Tampere FINLAND,2025-01,56,2,0
STD tehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-03,4,1,0
STD tehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-05,6,2,0
STD tehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-06,42,14,0
STD tehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-07,18,4,0
STD tehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-08,14,6,0
STD tehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-09,16,6,0
STD tehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-10,10,5,0
STD tehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-11,18,8,0
STD tehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-12,22,5,0
STD tehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND,2026-01,18,7,0
STD tehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND,2026-04,4,2,0
STD tehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND,2026-05,8,3,0
Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-01,30,2,0
Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-02,200,15,0
Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-03,290,22,0
Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-04,260,14,0
Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-05,230,22,0
Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-06,2690,117,0
Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-07,1400,65,0
Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-08,1640,69,0
Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-09,170,8,0
Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-10,120,3,0
Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-11,240,5,0
Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-12,80,3,0
Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,2026-01,100,5,0
Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,2026-02,80,1,0
Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,2026-03,130,6,0
Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,2026-04,200,8,0
Toimistotalo,Vanha Porvoontie 229 01380 Vantaa FINLAND,2026-05,780,18,0
Venttiilitehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND / Honkanummentie 11,2025-01,9,1,0
Venttiilitehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND / Honkanummentie 11,2025-02,21,5,0
Venttiilitehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND / Honkanummentie 11,2025-03,15,5,0
Venttiilitehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND / Honkanummentie 11,2025-04,30,6,0
Venttiilitehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND / Honkanummentie 11,2025-05,135,39,0
Venttiilitehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND / Honkanummentie 11,2025-06,138,37,0
Venttiilitehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND / Honkanummentie 11,2025-07,69,17,0
Venttiilitehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND / Honkanummentie 11,2025-08,276,31,0
Venttiilitehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND / Honkanummentie 11,2025-09,195,23,0
Venttiilitehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND / Honkanummentie 11,2025-10,15,4,0
Venttiilitehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND / Honkanummentie 11,2025-11,51,3,0
Venttiilitehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND / Honkanummentie 11,2025-12,78,13,0
Venttiilitehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND / Honkanummentie 11,2026-01,45,11,0
Venttiilitehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND / Honkanummentie 11,2026-02,18,3,0
Venttiilitehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND / Honkanummentie 11,2026-03,156,2,0
Venttiilitehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND / Honkanummentie 11,2026-04,30,4,0
Venttiilitehdas,Vanha Porvoontie 229 01380 Vantaa FINLAND / Honkanummentie 11,2026-05,183,45,0
Wharehouse,Vanha Porvoontie 229 01380 Vantaa FINLAND,2025-01,1,1,0
