month,work_orders,linked_share_pct,median_response_h
2017-05-01,8,0.0,
2017-06-01,44,0.0,
2017-07-01,17,0.0,
2017-08-01,42,0.0,
2017-09-01,31,0.0,
2017-10-01,57,0.0,
2017-11-01,69,0.0,
2017-12-01,56,0.0,
2018-01-01,75,0.0,
2018-02-01,59,0.0,
2018-03-01,52,0.0,
2018-04-01,44,0.0,
2018-05-01,49,0.0,
2018-06-01,56,0.0,
2018-07-01,56,0.0,
2018-08-01,67,0.0,
2018-09-01,106,0.0,
2018-10-01,234,0.0,
2018-11-01,276,0.0,
2018-12-01,226,0.0,
2019-01-01,290,0.0,
2019-02-01,276,0.0,
2019-03-01,281,0.0,
2019-04-01,239,0.0,
2019-05-01,215,0.0,
2019-06-01,190,0.0,
2019-07-01,245,0.0,
2019-08-01,223,0.0,
2019-09-01,280,0.0,
2019-10-01,262,0.0,
2019-11-01,281,0.0,
2019-12-01,254,0.0,
2020-01-01,286,0.0,
2020-02-01,256,0.0,
2020-03-01,226,0.0,
2020-04-01,174,0.0,
2020-05-01,187,0.0,
2020-06-01,214,0.0,
2020-07-01,219,0.0,
2020-08-01,275,0.0,
2020-09-01,318,0.0,
2020-10-01,237,0.0,
2020-11-01,280,0.0,
2020-12-01,293,0.0,
2021-01-01,312,0.0,
2021-02-01,500,0.0,
2021-03-01,579,0.0,
2021-04-01,502,0.0,
2021-05-01,530,0.0,
2021-06-01,506,0.0,
2021-07-01,535,0.0,
2021-08-01,635,0.0,
2021-09-01,583,0.0,
2021-10-01,591,0.0,
2021-11-01,616,0.0,
2021-12-01,576,0.0,
2022-01-01,524,0.0,
2022-02-01,548,0.0,
2022-03-01,596,0.0,
2022-04-01,503,0.0,
2022-05-01,589,0.0,
2022-06-01,527,0.0,
2022-07-01,460,0.0,
2022-08-01,586,0.0,
2022-09-01,511,0.0,
2022-10-01,557,0.0,
2022-11-01,667,0.0,
2022-12-01,591,0.0,
2023-01-01,551,0.0,
2023-02-01,556,0.0,
2023-03-01,630,0.0,
2023-04-01,485,0.0,
2023-05-01,608,0.0,
2023-06-01,658,0.0,
2023-07-01,587,0.0,
2023-08-01,693,0.0,
2023-09-01,626,0.0,
2023-10-01,695,0.0,
2023-11-01,627,0.0,
2023-12-01,481,0.0,
2024-01-01,664,0.0,
2024-02-01,531,0.0,
2024-03-01,544,0.0,
2024-04-01,645,0.0,
2024-05-01,581,0.0,
2024-06-01,578,0.0,
2024-07-01,527,0.0,
2024-08-01,622,0.0,
2024-09-01,557,0.0,
2024-10-01,695,0.0,
2024-11-01,631,0.0,
2024-12-01,478,0.0,
2025-01-01,566,26.501766784452297,75.6288888888889
2025-02-01,533,56.66041275797373,66.24166666666667
2025-03-01,554,78.88086642599278,44.98861111111111
2025-04-01,510,79.41176470588235,52.90277777777778
2025-05-01,530,83.39622641509435,29.58
2025-06-01,513,68.81091617933723,10.016666666666667
2025-07-01,524,97.51908396946564,41.59111111111111
2025-08-01,532,84.9624060150376,21.299027777777777
2025-09-01,620,77.74193548387098,35.13694444444444
2025-10-01,638,44.98432601880878,77.25944444444444
2025-11-01,604,62.086092715231786,24.994444444444444
2025-12-01,551,76.22504537205081,49.74347222222222
2026-01-01,506,45.8498023715415,49.33638888888889
2026-02-01,554,39.53068592057762,36.56111111111111
2026-03-01,577,79.37608318890814,63.745
2026-04-01,517,47.00193423597679,48.89666666666667
2026-05-01,435,91.26436781609195,23.900555555555556
2026-06-01,2,50.0,167.23666666666668
