WO_NO,CUSTOMER_NO,CUSTOMER_SITE_NO,WORK_STARTED_DATETIME,WORK_FINISHED_DATETIME,PRIORITY_ID,CONTRACT,PM_NO,ALERT_EVENT_ID,EVENT_TIME,Priority,EVENT_DESCRIPTION,HWID,response_hours
156837,100279959,999154922,2017-05-29 07:51:00,29.5.2017 14:24,4.0,KIPA,,,,,,,
156894,100279959,999154922,2017-05-29 08:09:00,29.5.2017 8:10,1.0,KIPA,,,,,,,
157202,100279959,999154922,2017-05-29 14:22:00,29.5.2017 14:22,4.0,KIPA,,,,,,,
159691,100279959,999154922,2017-05-30 07:40:00,30.5.2017 9:59,4.0,KIPA,,,,,,,
160564,100279959,999154922,2017-05-30 10:10:00,30.5.2017 10:28,4.0,KIPA,,,,,,,
160681,100279959,999154922,2017-05-30 13:38:00,30.5.2017 13:39,4.0,KIPA,,,,,,,
161504,100279959,999154922,2017-05-30 13:49:00,30.5.2017 15:25,4.0,KIPA,,,,,,,
162929,100279959,999154922,2017-05-31 10:29:00,31.5.2017 10:30,4.0,KIPA,,,,,,,
165560,100279959,999154922,2017-06-01 08:00:00,1.6.2017 12:03,4.0,KIPA,,,,,,,
167045,100279959,999154922,2017-06-01 12:49:00,1.6.2017 12:50,4.0,KIPA,,,,,,,
168978,100279959,999154922,2017-06-02 13:02:00,2.6.2017 13:02,4.0,KIPA,,,,,,,
169695,100279959,999154922,2017-06-02 13:04:00,2.6.2017 13:18,4.0,KIPA,,,,,,,
170125,100279959,999154922,2017-06-02 15:31:00,2.6.2017 15:31,4.0,KIPA,,,,,,,
170494,100279959,999154922,2017-06-03 01:58:00,3.6.2017 3:51,1.0,KIPA,,,,,,,
171538,100279959,999154922,2017-06-05 07:14:00,5.6.2017 14:26,4.0,KIPA,,,,,,,
172633,100279959,999154922,2017-06-05 11:56:00,5.6.2017 12:26,4.0,KIPA,,,,,,,
172754,100279959,999154922,2017-06-05 12:27:00,5.6.2017 12:27,4.0,KIPA,,,,,,,
155245,100279959,999154922,2017-06-05 12:51:00,5.6.2017 12:51,4.0,KIPA,,,,,,,
173576,100279959,999154922,2017-06-05 15:32:00,5.6.2017 15:32,4.0,KIPA,,,,,,,
174291,100279959,999154922,2017-06-06 08:01:00,6.6.2017 8:01,4.0,KIPA,,,,,,,
160866,100279959,999154922,2017-06-06 12:57:00,9.6.2017 10:43,4.0,KIPA,,,,,,,
160933,100279959,999154922,2017-06-08 06:57:00,8.6.2017 6:57,4.0,KIPA,,,,,,,
160921,100279959,999154922,2017-06-08 06:58:00,8.6.2017 6:58,4.0,KIPA,,,,,,,
179212,100279959,999154922,2017-06-08 07:17:00,8.6.2017 10:30,4.0,KIPA,,,,,,,
154818,100279959,999154922,2017-06-08 10:31:00,8.6.2017 10:31,4.0,KIPA,,,,,,,
163590,100279959,999154922,2017-06-08 12:34:00,8.6.2017 12:34,4.0,KIPA,,,,,,,
173300,100279959,999154922,2017-06-08 12:51:00,8.6.2017 12:51,4.0,KIPA,,,,,,,
173354,100279959,999154922,2017-06-08 13:01:00,8.6.2017 13:01,4.0,KIPA,,,,,,,
184321,100279959,999154922,2017-06-12 07:16:00,12.6.2017 10:37,4.0,KIPA,,,,,,,
185282,100279959,999154922,2017-06-12 12:42:00,12.6.2017 13:16,4.0,KIPA,,,,,,,
173524,100279959,999154922,2017-06-12 13:16:00,13.6.2017 10:06,4.0,KIPA,,,,,,,
185746,100279959,999154922,2017-06-12 13:28:00,12.6.2017 13:28,3.0,KIPA,,,,,,,
187269,100279959,999154922,2017-06-13 10:09:00,13.6.2017 14:09,4.0,KIPA,,,,,,,
188150,100279959,999154922,2017-06-13 14:11:00,13.6.2017 14:41,4.0,KIPA,,,,,,,
191128,100279959,999154922,2017-06-15 07:22:00,11.7.2017 13:56,4.0,KIPA,,,,,,,
191755,100279959,999154922,2017-06-15 10:18:00,15.6.2017 11:49,4.0,KIPA,,,,,,,
191863,100279959,999154922,2017-06-15 10:49:00,15.6.2017 11:55,4.0,KIPA,,,,,,,
192939,100279959,999154922,2017-06-15 17:04:00,15.6.2017 18:09,1.0,KIPA,,,,,,,
193276,100279959,999154922,2017-06-16 09:15:00,16.6.2017 9:15,4.0,KIPA,,,,,,,
192588,100279959,999154922,2017-06-16 12:27:00,16.6.2017 12:27,4.0,KIPA,,,,,,,
198314,100279959,999154922,2017-06-20 07:49:00,20.6.2017 15:02,4.0,KIPA,,,,,,,
199966,100279959,999154922,2017-06-21 07:00:00,21.6.2017 10:57,4.0,KIPA,,,,,,,
202725,100279959,999154922,2017-06-22 08:14:00,22.6.2017 12:04,4.0,KIPA,,,,,,,
205180,100279959,999154922,2017-06-26 07:05:00,26.6.2017 12:30,4.0,KIPA,,,,,,,
205513,100279959,999154922,2017-06-26 08:45:00,26.6.2017 8:45,4.0,KIPA,,,,,,,
205339,100279959,999154922,2017-06-26 08:52:00,26.6.2017 8:52,2.0,KIPA,,,,,,,
206521,100279959,999154922,2017-06-26 14:53:00,26.6.2017 15:08,4.0,KIPA,,,,,,,
207363,100279959,999154922,2017-06-27 07:50:00,27.6.2017 12:01,4.0,KIPA,,,,,,,
207258,100279959,999154922,2017-06-27 12:01:00,27.6.2017 12:01,1.0,KIPA,,,,,,,
213616,100279959,999154922,2017-06-30 09:37:00,30.6.2017 9:55,1.0,KIPA,,,,,,,
210730,100279959,999154922,2017-06-30 13:05:00,30.6.2017 13:05,,KIPA,,,,,,,
214943,100279959,999154922,2017-06-30 15:18:00,30.6.2017 16:00,,KIPA,,,,,,,
215854,100279959,999154922,2017-07-03 13:40:00,3.7.2017 13:40,4.0,KIPA,,,,,,,
212761,100279959,999154922,2017-07-04 07:04:00,4.7.2017 7:04,4.0,KIPA,,,,,,,
217149,100279959,999154922,2017-07-05 07:27:00,5.7.2017 7:28,1.0,KIPA,,,,,,,
194974,100279959,999154922,2017-07-05 07:49:00,6.7.2017 13:48,4.0,KIPA,,,,,,,
222386,100279959,999154922,2017-07-06 07:19:00,6.7.2017 7:19,4.0,KIPA,,,,,,,
222419,100279959,999154922,2017-07-06 07:21:00,6.7.2017 10:26,4.0,KIPA,,,,,,,
212793,100279959,999154922,2017-07-06 07:34:00,6.7.2017 7:34,4.0,KIPA,,,,,,,
214751,100279959,999154922,2017-07-07 07:02:00,7.7.2017 7:03,4.0,KIPA,,,,,,,
214861,100279959,999154922,2017-07-07 07:04:00,7.7.2017 7:04,4.0,KIPA,,,,,,,
228903,100279959,999154922,2017-07-12 08:08:00,12.7.2017 8:28,4.0,KIPA,,,,,,,
227916,100279959,999154922,2017-07-12 08:30:00,12.7.2017 8:30,4.0,KIPA,,,,,,,
242731,100279959,999154922,2017-07-21 12:15:00,21.7.2017 12:15,1.0,KIPA,,,,,,,
243950,100279959,999154922,2017-07-21 14:09:00,21.7.2017 14:09,,KIPA,,,,,,,
244931,100279959,999154922,2017-07-24 09:16:00,24.7.2017 9:17,1.0,KIPA,,,,,,,
189523,100279959,999154922,2017-07-26 07:30:00,26.7.2017 7:30,4.0,KIPA,,,,,,,
191118,100279959,999154922,2017-07-26 07:30:00,26.7.2017 7:30,4.0,KIPA,,,,,,,
