date,metric_type,avg_utilization_pct,asset_count,work_orders,cleaning_work_orders
2024-01-01,desk,0.0,176,3.0,0.0
2024-01-01,room,0.0,38,3.0,0.0
2024-01-02,desk,25.87994318181818,176,25.0,18.0
2024-01-02,room,19.54657894736842,38,25.0,18.0
2024-01-03,desk,29.577045454545456,176,25.0,18.0
2024-01-03,room,32.37947368421053,38,25.0,18.0
2024-01-04,desk,32.244375,176,26.0,20.0
2024-01-04,room,36.25289473684211,38,26.0,20.0
2024-01-05,desk,19.108977272727273,176,29.0,19.0
2024-01-05,room,21.034736842105264,38,29.0,19.0
2024-01-08,desk,31.674602272727274,176,37.0,19.0
2024-01-08,room,39.14526315789474,38,37.0,19.0
2024-01-09,desk,41.254943181818184,176,30.0,22.0
2024-01-09,room,48.74105263157895,38,30.0,22.0
2024-01-10,desk,42.211420454545454,176,30.0,19.0
2024-01-10,room,48.297105263157896,38,30.0,19.0
2024-01-11,desk,41.829204545454544,176,33.0,27.0
2024-01-11,room,46.60921052631579,38,33.0,27.0
2024-01-12,desk,24.488238636363636,176,29.0,16.0
2024-01-12,room,32.380526315789474,38,29.0,16.0
2024-01-15,desk,34.21698863636363,176,40.0,21.0
2024-01-15,room,43.49315789473684,38,40.0,21.0
2024-01-16,desk,37.65892045454546,176,35.0,22.0
2024-01-16,room,41.06078947368421,38,35.0,22.0
2024-01-17,desk,45.58090909090909,176,30.0,17.0
2024-01-17,room,46.35526315789474,38,30.0,17.0
2024-01-18,desk,36.507670454545455,176,30.0,21.0
2024-01-18,room,48.10342105263158,38,30.0,21.0
2024-01-19,desk,26.076363636363638,176,28.0,17.0
2024-01-19,room,41.12,38,28.0,17.0
2024-01-22,desk,33.43880681818182,176,23.0,20.0
2024-01-22,room,47.15105263157895,38,23.0,20.0
2024-01-23,desk,44.93954545454545,176,30.0,21.0
2024-01-23,room,51.08684210526316,38,30.0,21.0
2024-01-24,desk,44.06409090909091,176,30.0,23.0
2024-01-24,room,48.89289473684211,38,30.0,23.0
2024-01-25,desk,37.201477272727274,176,34.0,23.0
2024-01-25,room,40.78552631578947,38,34.0,23.0
2024-01-26,desk,22.764659090909092,176,29.0,21.0
2024-01-26,room,35.46868421052631,38,29.0,21.0
2024-01-29,desk,34.006136363636365,176,26.0,20.0
2024-01-29,room,49.3271052631579,38,26.0,20.0
2024-01-30,desk,38.943011363636366,176,28.0,21.0
2024-01-30,room,47.56921052631579,38,28.0,21.0
2024-01-31,desk,46.38130681818182,176,29.0,20.0
2024-01-31,room,51.05078947368421,38,29.0,20.0
2024-02-01,desk,39.08431818181818,176,19.0,15.0
2024-02-01,room,50.16184210526316,38,19.0,15.0
2024-02-02,desk,20.578352272727273,176,22.0,14.0
2024-02-02,room,35.21736842105263,38,22.0,14.0
2024-02-05,desk,34.52494318181818,176,25.0,19.0
2024-02-05,room,44.97684210526316,38,25.0,19.0
2024-02-06,desk,44.43482954545454,176,29.0,21.0
2024-02-06,room,43.973684210526315,38,29.0,21.0
2024-02-07,desk,46.88363636363636,176,27.0,24.0
2024-02-07,room,47.51868421052632,38,27.0,24.0
2024-02-08,desk,37.99397727272728,176,32.0,22.0
2024-02-08,room,47.21973684210527,38,32.0,22.0
2024-02-09,desk,20.14528409090909,176,28.0,17.0
2024-02-09,room,34.808684210526316,38,28.0,17.0
2024-02-12,desk,29.673465909090908,176,15.0,8.0
2024-02-12,room,41.35421052631579,38,15.0,8.0
2024-02-13,desk,41.29931818181819,176,27.0,20.0
2024-02-13,room,45.681315789473686,38,27.0,20.0
2024-02-14,desk,27.500454545454545,176,24.0,21.0
2024-02-14,room,37.3228947368421,38,24.0,21.0
2024-02-15,desk,30.557670454545452,176,27.0,20.0
2024-02-15,room,39.32815789473684,38,27.0,20.0
2024-02-16,desk,18.03806818181818,176,33.0,19.0
2024-02-16,room,34.68105263157895,38,33.0,19.0
2024-02-19,desk,36.17454545454546,176,24.0,16.0
