ACTION_DESCR_ENG,plan_rows,fuzzy_execution_rate_pct,avg_best_similarity
"Scheduled maintenance, electrical",66,100.0,0.6465097225930582
Manual cleaning of outdoor areas P1-P6,15,100.0,0.5433267552970503
"Scheduled maintenance, fire safety",12,100.0,0.5062031835205992
Lawn mowing A1-A3,12,0.0,0.3561291994390586
Maintenance of drain sump sediment traps,9,100.0,0.4561403508771929
"Scheduled maintenance, ventilation, spring",9,100.0,0.6158091858860635
"Scheduled maintenance, fire alarm systems",9,100.0,0.5881725681725682
"Scheduled maintenance, sprinklers and other automatic fire extinguishing equipment",7,100.0,0.6266083459431057
Manual anti-slip treatment / removal of ice,6,0.0,0.1917808219178082
Removal of sanding grit,6,0.0,0.35815173527037936
"Scheduled maintenance, building automation",6,100.0,0.649090909090909
Manual snow removal,6,0.0,0.171875
Maintenance of fire alarm systems,6,100.0,0.5913978494623656
"Scheduled maintenance, heating and water systems",6,100.0,0.7487098749234672
"Scheduled maintenance, property refrigeration systems, autumn",6,100.0,0.5321234119782213
"Scheduled maintenance, property refrigeration systems, spring",6,100.0,0.5318571428571429
Spring/autumn lawn care and landscape maintenance,6,50.0,0.24752475247524752
Upkeep of the sprinkler system,6,0.0,0.39126984126984127
Maintenance of water and sewer systems,6,100.0,0.528344671201814
Weekly inspection round,6,0.0,0.375
Machine-based anti-slip treatment,6,0.0,0.20000000000000004
Flag raising on established flag days,6,0.0,0.0
Maintenance of electrical systems,6,50.0,0.23404255319148937
Machine-based snow removal,6,0.0,0.1884057971014493
Machine-based cleaning of outdoor areas P1-P6,6,50.0,0.2524271844660194
Inspection of portable fire extinguishers,3,0.0,0.3896103896103897
Inspection of fire hose reels,3,0.0,0.375
Inspection and cleaning of gutters,3,0.0,0.0
Functional inspection of fire doors,3,100.0,0.4225352112676057
Maintenance of fire extinguishing systems and related equipment,3,0.0,0.4067796610169492
Customer and user meetings,3,0.0,0.0
Lowering and relocation of snow banks,3,0.0,0.40425531914893614
Assisting external contractors,3,0.0,0.0
Annual maintenance of ventilation systems,3,100.0,0.5294117647058824
Annual maintenance of the smoke extraction system,3,100.0,0.5242718446601942
Washing of paved areas,3,0.0,0.3499999999999999
"Scheduled maintenance, ventilation, autumn",3,100.0,0.6593406593406593
Roof snow removal,3,0.0,0.0
Maintenance of the sprinkler system,3,100.0,0.4536082474226804
"Replacement of lamps, fluorescent tubes, etc.",3,0.0,0.0
Removal of foreign plants and weeds,3,0.0,0.3499999999999999
Reading of the property's main consumption meters,3,100.0,0.42857142857142855
Pressure testing of fire hose reels,3,0.0,0.4186046511627907
Posting notices on the notice board,3,0.0,0.0
Planting and care of seasonal plants,3,100.0,0.4444444444444444
Participation in authority inspections,3,0.0,0.0
Monthly inspection round,3,0.0,0.3673469387755102
Annual maintenance of the fire alarm system,3,100.0,0.5106382978723404
Maintenance of drainage structures,3,0.0,0.0
Annual maintenance of the emergency lighting system,3,100.0,0.4905660377358491
