month,expected_scheduled,actual_work_orders
2017-01-01,3.0,0.0
2017-04-01,6.0,0.0
2017-05-01,9.0,8.0
2017-06-01,9.0,44.0
2017-07-01,3.0,17.0
2017-08-01,3.0,42.0
2017-09-01,0.0,31.0
2017-10-01,3.0,57.0
2017-11-01,6.0,69.0
2017-12-01,0.0,56.0
2018-01-01,3.0,75.0
2018-02-01,0.0,59.0
2018-03-01,0.0,52.0
2018-04-01,6.0,44.0
2018-05-01,21.0,49.0
2018-06-01,21.0,56.0
2018-07-01,18.0,56.0
2018-08-01,15.0,67.0
2018-09-01,12.0,106.0
2018-10-01,18.0,234.0
2018-11-01,18.0,276.0
2018-12-01,15.0,226.0
2019-01-01,15.0,290.0
2019-02-01,12.0,276.0
2019-03-01,12.0,281.0
2019-04-01,21.0,239.0
2019-05-01,21.0,215.0
2019-06-01,21.0,190.0
2019-07-01,18.0,245.0
2019-08-01,15.0,223.0
2019-09-01,18.0,280.0
2019-10-01,15.0,262.0
2019-11-01,18.0,281.0
2019-12-01,15.0,254.0
2020-01-01,15.0,286.0
2020-02-01,12.0,256.0
2020-03-01,21.0,226.0
2020-04-01,18.0,174.0
2020-05-01,21.0,187.0
2020-06-01,48.0,214.0
2020-07-01,15.0,219.0
2020-08-01,18.0,275.0
2020-09-01,18.0,318.0
2020-10-01,15.0,237.0
2020-11-01,21.0,280.0
2020-12-01,114.0,293.0
2021-01-01,207.0,312.0
2021-02-01,306.0,500.0
2021-03-01,591.0,579.0
2021-04-01,579.0,502.0
2021-05-01,612.0,530.0
2021-06-01,606.0,506.0
2021-07-01,597.0,535.0
2021-08-01,609.0,635.0
2021-09-01,588.0,583.0
2021-10-01,600.0,591.0
2021-11-01,591.0,616.0
2021-12-01,597.0,576.0
2022-01-01,609.0,524.0
2022-02-01,555.0,548.0
2022-03-01,702.0,596.0
2022-04-01,687.0,503.0
2022-05-01,717.0,589.0
2022-06-01,702.0,527.0
2022-07-01,699.0,460.0
2022-08-01,705.0,586.0
2022-09-01,687.0,511.0
2022-10-01,780.0,557.0
2022-11-01,771.0,667.0
2022-12-01,786.0,591.0
2023-01-01,798.0,551.0
2023-02-01,723.0,556.0
2023-03-01,798.0,630.0
2023-04-01,777.0,485.0
2023-05-01,810.0,608.0
2023-06-01,792.0,658.0
2023-07-01,798.0,587.0
2023-08-01,792.0,693.0
2023-09-01,777.0,626.0
2023-10-01,795.0,695.0
2023-11-01,771.0,627.0
2023-12-01,786.0,481.0
2024-01-01,798.0,664.0
2024-02-01,750.0,531.0
2024-03-01,831.0,544.0
2024-04-01,786.0,645.0
2024-05-01,813.0,581.0
2024-06-01,813.0,578.0
2024-07-01,822.0,527.0
2024-08-01,813.0,622.0
2024-09-01,816.0,557.0
2024-10-01,810.0,695.0
2024-11-01,792.0,631.0
2024-12-01,813.0,478.0
2025-01-01,813.0,566.0
2025-02-01,744.0,533.0
2025-03-01,861.0,554.0
2025-04-01,798.0,510.0
2025-05-01,825.0,530.0
2025-06-01,825.0,513.0
2025-07-01,813.0,524.0
2025-08-01,814.0,532.0
2025-09-01,816.0,620.0
2025-10-01,810.0,638.0
2025-11-01,792.0,604.0
2025-12-01,816.0,551.0
2026-01-01,813.0,506.0
2026-02-01,744.0,554.0
2026-03-01,861.0,577.0
2026-04-01,798.0,517.0
2026-05-01,825.0,435.0
2026-06-01,72.0,2.0
