ACTION_DESCR_ENG,plan_rows,execution_rate_pct
"Scheduled maintenance, electrical",66,0.0
Manual cleaning of outdoor areas P1-P6,15,0.0
"Scheduled maintenance, fire safety",12,0.0
Lawn mowing A1-A3,12,0.0
Maintenance of drain sump sediment traps,9,0.0
"Scheduled maintenance, ventilation, spring",9,0.0
"Scheduled maintenance, fire alarm systems",9,0.0
"Scheduled maintenance, sprinklers and other automatic fire extinguishing equipment",7,0.0
Manual anti-slip treatment / removal of ice,6,0.0
Removal of sanding grit,6,0.0
"Scheduled maintenance, building automation",6,0.0
Manual snow removal,6,0.0
Maintenance of fire alarm systems,6,0.0
"Scheduled maintenance, heating and water systems",6,0.0
"Scheduled maintenance, property refrigeration systems, autumn",6,0.0
"Scheduled maintenance, property refrigeration systems, spring",6,0.0
Spring/autumn lawn care and landscape maintenance,6,0.0
Upkeep of the sprinkler system,6,0.0
Maintenance of water and sewer systems,6,0.0
Weekly inspection round,6,0.0
Machine-based anti-slip treatment,6,0.0
Flag raising on established flag days,6,0.0
Maintenance of electrical systems,6,0.0
Machine-based snow removal,6,0.0
Machine-based cleaning of outdoor areas P1-P6,6,0.0
Inspection of portable fire extinguishers,3,0.0
Inspection of fire hose reels,3,0.0
Inspection and cleaning of gutters,3,0.0
Functional inspection of fire doors,3,0.0
Maintenance of fire extinguishing systems and related equipment,3,0.0
Customer and user meetings,3,0.0
Lowering and relocation of snow banks,3,0.0
Assisting external contractors,3,0.0
Annual maintenance of ventilation systems,3,0.0
Annual maintenance of the smoke extraction system,3,0.0
Washing of paved areas,3,0.0
"Scheduled maintenance, ventilation, autumn",3,0.0
Roof snow removal,3,0.0
Maintenance of the sprinkler system,3,0.0
"Replacement of lamps, fluorescent tubes, etc.",3,0.0
Removal of foreign plants and weeds,3,0.0
Reading of the property's main consumption meters,3,0.0
Pressure testing of fire hose reels,3,0.0
Posting notices on the notice board,3,0.0
Planting and care of seasonal plants,3,0.0
Participation in authority inspections,3,0.0
Monthly inspection round,3,0.0
Annual maintenance of the fire alarm system,3,0.0
Maintenance of drainage structures,3,0.0
Annual maintenance of the emergency lighting system,3,0.0
